H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-3.152144E+1	8.306780E-5	3.400000E+9	1.589138E+2	8.190393E-5
5.500000E+2	3.400000E+9	-3.115179E+1	8.284944E-5	3.400000E+9	1.601621E+2	8.313975E-5
5.450000E+2	3.400000E+9	-3.135476E+1	8.264101E-5	3.400000E+9	1.591192E+2	8.304446E-5
5.400000E+2	3.400000E+9	-3.269348E+1	8.393827E-5	3.400000E+9	1.582804E+2	8.337676E-5
5.350000E+2	3.400000E+9	-3.286938E+1	8.349978E-5	3.400000E+9	1.574652E+2	8.363155E-5
5.300000E+2	3.400000E+9	-3.279250E+1	8.232265E-5	3.400000E+9	1.572490E+2	8.332081E-5
5.250000E+2	3.400000E+9	-3.339932E+1	8.255855E-5	3.400000E+9	1.565280E+2	8.274070E-5
5.200000E+2	3.400000E+9	-3.364096E+1	8.173530E-5	3.400000E+9	1.558059E+2	8.158980E-5
5.150000E+2	3.400000E+9	-3.428545E+1	8.267864E-5	3.400000E+9	1.552740E+2	8.244746E-5
5.100000E+2	3.400000E+9	-3.544445E+1	8.163261E-5	3.400000E+9	1.542601E+2	8.146295E-5
5.050000E+2	3.400000E+9	-3.614887E+1	8.152767E-5	3.400000E+9	1.535066E+2	8.094708E-5
5.000000E+2	3.400000E+9	-3.664535E+1	8.050923E-5	3.400000E+9	1.529359E+2	7.891384E-5
4.950000E+2	3.400000E+9	-3.753527E+1	7.819013E-5	3.400000E+9	1.516052E+2	7.967804E-5
4.900000E+2	3.400000E+9	-3.968784E+1	7.739242E-5	3.400000E+9	1.496048E+2	7.729496E-5
4.850000E+2	3.400000E+9	-4.034203E+1	7.432543E-5	3.400000E+9	1.482076E+2	7.492280E-5
4.800000E+2	3.400000E+9	-4.247309E+1	7.176733E-5	3.400000E+9	1.468259E+2	7.206483E-5
4.750000E+2	3.400000E+9	-4.420589E+1	6.751598E-5	3.400000E+9	1.441938E+2	6.793041E-5
4.700000E+2	3.400000E+9	-4.338426E+1	6.159949E-5	3.400000E+9	1.431802E+2	6.456500E-5
4.650000E+2	3.400000E+9	-4.065891E+1	5.630792E-5	3.400000E+9	1.432737E+2	6.017819E-5
4.600000E+2	3.400000E+9	-3.693509E+1	5.083897E-5	3.400000E+9	1.441651E+2	5.171387E-5
4.550000E+2	3.400000E+9	-2.916606E+1	4.783140E-5	3.400000E+9	1.462165E+2	4.612576E-5
4.500000E+2	3.400000E+9	-1.988007E+1	4.800600E-5	3.400000E+9	1.549703E+2	4.114346E-5
4.450000E+2	3.400000E+9	-1.612089E+1	5.202314E-5	3.400000E+9	1.626072E+2	3.880390E-5
4.400000E+2	3.400000E+9	-1.063889E+1	5.723790E-5	3.400000E+9	1.738686E+2	3.927978E-5
4.350000E+2	3.400000E+9	-9.789604E+0	6.134042E-5	3.400000E+9	-1.776295E+2	4.372320E-5
4.300000E+2	3.400000E+9	-9.854869E+0	6.430514E-5	3.400000E+9	-1.732278E+2	4.886554E-5
4.250000E+2	3.400000E+9	-1.047954E+1	6.753604E-5	3.400000E+9	-1.721073E+2	5.346587E-5
4.200000E+2	3.400000E+9	-1.195681E+1	7.122582E-5	3.400000E+9	-1.726054E+2	5.888707E-5
4.150000E+2	3.400000E+9	-1.303657E+1	7.412869E-5	3.400000E+9	-1.727973E+2	6.276281E-5
4.100000E+2	3.400000E+9	-1.293158E+1	7.579473E-5	3.400000E+9	-1.746780E+2	6.636351E-5
4.050000E+2	3.400000E+9	-1.394610E+1	7.710657E-5	3.400000E+9	-1.754017E+2	6.990359E-5
4.000000E+2	3.400000E+9	-1.458043E+1	7.715009E-5	3.400000E+9	-1.754215E+2	7.098754E-5
3.950000E+2	3.400000E+9	-1.604327E+1	7.812624E-5	3.400000E+9	-1.768531E+2	7.353551E-5
3.900000E+2	3.400000E+9	-1.639027E+1	7.866833E-5	3.400000E+9	-1.778803E+2	7.374509E-5
3.850000E+2	3.400000E+9	-1.580387E+1	7.987845E-5	3.400000E+9	-1.787950E+2	7.552559E-5
3.800000E+2	3.400000E+9	-1.638749E+1	7.911905E-5	3.400000E+9	-1.786979E+2	7.563331E-5
3.750000E+2	3.400000E+9	-1.736156E+1	7.973196E-5	3.400000E+9	-1.798644E+2	7.689795E-5
3.700000E+2	3.400000E+9	-1.681246E+1	8.073305E-5	3.400000E+9	-1.799866E+2	7.582773E-5
3.650000E+2	3.400000E+9	-1.762526E+1	7.891220E-5	3.400000E+9	1.784020E+2	7.766463E-5
3.600000E+2	3.400000E+9	-1.802838E+1	7.680222E-5	3.400000E+9	1.785189E+2	7.578776E-5
3.550000E+2	3.400000E+9	-1.870784E+1	7.886555E-5	3.400000E+9	1.763086E+2	7.539935E-5
3.500000E+2	3.400000E+9	-2.039840E+1	7.810777E-5	3.400000E+9	1.774992E+2	7.391735E-5
3.500000E+2	3.400000E+9	-2.080663E+1	7.756631E-5	3.400000E+9	1.754913E+2	7.448477E-5
3.500000E+2	3.400000E+9	-2.210450E+1	7.837582E-5	3.400000E+9	1.754688E+2	7.349691E-5
3.500000E+2	3.400000E+9	-2.247749E+1	7.822980E-5	3.400000E+9	1.734989E+2	7.478660E-5
3.500000E+2	3.400000E+9	-2.349281E+1	7.889178E-5	3.400000E+9	1.733899E+2	7.517180E-5
3.500000E+2	3.400000E+9	-2.459458E+1	7.873579E-5	3.400000E+9	1.727369E+2	7.542574E-5
3.500000E+2	3.400000E+9	-2.911317E+1	8.020279E-5	3.400000E+9	1.700144E+2	7.602054E-5
3.500000E+2	3.400000E+9	-3.149632E+1	7.976461E-5	3.400000E+9	1.691042E+2	7.493279E-5
